"","Personnel.Number","Gender","Hire.Date","Exit.Date","Exit.Reason","Cost.Center","Employee.Group","Employee.Subgroup","Location.Code","Employment.Days","Currently.Employed","Lasted.6.Months","Lasted.1.Year","Lasted.2.Years","Lasted.3.Years","Lasted.4.Years","Lasted.5.Years"
"6801","60046498","Male",2012-09-04,NA,NA,"164472","Employee","Salary Grade 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6802","60046499","Female",2012-09-04,NA,NA,"564451","Employee","Nonexempt","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6803","60046500","Female",2012-09-04,NA,NA,"205-A165","Employee","Salary Grade Less 12","1018",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6804","60046501","Male",2012-09-04,NA,NA,"205-B864","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6805","60046504","Male",1998-02-03,NA,NA,"1864494","Employee","Executive","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6806","60046510","Male",2012-09-10,NA,NA,"761175","Employee","Hourly","1011",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6807","60046513","Male",2012-09-11,NA,NA,"3162407","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6808","60046515","Male",2012-09-11,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6809","60046516","Male",2012-09-11,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6810","60046519","Male",2012-09-12,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6811","60046523","Male",2012-09-17,NA,NA,"164410","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6812","60046524","Female",2012-09-17,NA,NA,"164473","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6813","60046529","Male",2012-09-24,NA,NA,"57-6442","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6814","60046533","Male",2012-09-24,NA,NA,"54-4362","Employee","Nonexempt","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6815","60046534","Male",2012-09-24,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6816","60046535","Male",2012-09-24,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6817","60046537","Male",2012-09-24,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6818","60046540","Male",2012-09-20,NA,NA,"564452","Employee","Executive","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6819","60046541","Male",2012-09-24,NA,NA,"564461","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6820","60046543","Male",2012-09-25,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6821","60046544","Male",2012-09-25,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6822","60046548","Male",2012-09-26,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6823","60046551","Male",2012-10-01,NA,NA,"57-6201","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6824","60046552","Male",2012-10-01,NA,NA,"57-6221","Employee","Nonexempt","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6825","60046554","Male",2016-11-07,NA,NA,"205-P805","Employee","Salary Grade Less 12","1018",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"6826","60046555","Female",2016-10-10,NA,NA,"1864450","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"6827","60046556","Male",2012-10-15,NA,NA,"101-2931","Employee","Salary Grade 12","0701",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6828","60046557","Male",2012-10-03,NA,NA,"214-K073","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6829","60046559","Male",2012-10-01,NA,NA,"200-5005","Employee","Hourly","1016",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6830","60046560","Male",2012-10-08,NA,NA,"214-K073","Employee","Nonexempt","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6831","60046561","Male",2012-10-08,NA,NA,"164473","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6832","60046564","Female",2012-10-09,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6833","60046565","Male",2012-10-10,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6834","60046567","Male",2012-10-10,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6835","60046568","Male",2012-10-22,NA,NA,"101-2927","Employee","Salary Grade Less 12","0701",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6836","60046569","Male",2012-10-12,NA,NA,"161157","Employee","Nonexempt","1011",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
